"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology Kharagpur","Chemical Engineering (4 Years, Bachelor of Technology)",100,15,115
"Indian Institute of Technology Kharagpur","Civil Engineering (4 Years, Bachelor of Technology)",104,15,119
"Indian Institute of Technology Kharagpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",118,22,140
"Indian Institute of Technology Kharagpur","Electrical Engineering (4 Years, Bachelor of Technology)",96,17,113
"Indian Institute of Technology Kharagpur","Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",127,23,150
"Indian Institute of Technology Kharagpur","Instrumentation Engineering (4 Years, Bachelor of Technology)",41,3,44
"Indian Institute of Technology Kharagpur","Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",55,11,66
"Indian Institute of Technology Kharagpur","Mechanical Engineering (4 Years, Bachelor of Technology)",144,28,172
"Indian Institute of Technology Kharagpur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",80,13,93
"Indian Institute of Technology Kharagpur","Mining Engineering (4 Years, Bachelor of Technology)",95,18,113
"Indian Institute of Technology Kharagpur","Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",71,9,80
"Indian Institute of Technology Kharagpur","Industrial and Systems Engineering (4 Years, Bachelor of Technology)",63,9,72
"Indian Institute of Technology Kharagpur","Artificial Intelligence (4 Years, Bachelor of Technology)",30,0,30
"Indian Institute of Technology Kharagpur","Chemistry (4 Years, Bachelor of Science)",45,0,45
"Indian Institute of Technology Kharagpur","Economics (4 Years, Bachelor of Science)",59,0,59
"Indian Institute of Technology Kharagpur","Physics (4 Years, Bachelor of Science)",49,0,49
"Indian Institute of Technology Kharagpur","Mathematics and Computing (4 Years, Bachelor of Science)",69,0,69
"Indian Institute of Technology Kharagpur","Applied Geology (4 Years, Bachelor of Science)",52,0,52
"Indian Institute of Technology Kharagpur","Exploration Geophysics (4 Years, Bachelor of Science)",45,0,45
"Indian Institute of Technology Kharagpur","Architecture (5 Years, Bachelor of Architecture)",37,3,40
"Indian Institute of Technology Hyderabad","Chemical Engineering (4 Years, Bachelor of Technology)",37,8,45
"Indian Institute of Technology Hyderabad","Civil Engineering (4 Years, Bachelor of Technology)",49,11,60
"Indian Institute of Technology Hyderabad","Computational Engineering (4 Years, Bachelor of Technology)",22,3,25
"Indian Institute of Technology Hyderabad","Industrial Chemistry (4 Years, Bachelor of Technology)",22,3,25
"Indian Institute of Technology Hyderabad","Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",21,4,25
"Indian Institute of Technology Hyderabad","Computer Science and Engineering (4 Years, Bachelor of Technology)",53,12,65
"Indian Institute of Technology Hyderabad","Electrical Engineering (4 Years, Bachelor of Technology)",53,12,65
"Indian Institute of Technology Hyderabad","Engineering Physics (4 Years, Bachelor of Technology)",29,6,35
"Indian Institute of Technology Hyderabad","Engineering Science (4 Years, Bachelor of Technology)",33,7,40
"Indian Institute of Technology Hyderabad","Mathematics and Computing (4 Years, Bachelor of Technology)",21,4,25
"Indian Institute of Technology Hyderabad","Mechanical Engineering (4 Years, Bachelor of Technology)",53,12,65
"Indian Institute of Technology Hyderabad","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",29,6,35
"Indian Institute of Technology Hyderabad","Artificial Intelligence (4 Years, Bachelor of Technology)",29,6,35
"Indian Institute of Technology Hyderabad","Biomedical Engineering (4 Years, Bachelor of Technology)",21,4,25
"Indian Institute of Technology Hyderabad","Biotechnology and Bioinformatics",22,3,25
"Indian Institute of Technology Jodhpur","Chemical Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Jodhpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",64,16,80
"Indian Institute of Technology Jodhpur","Electrical Engineering (4 Years, Bachelor of Technology)",72,18,90
"Indian Institute of Technology Jodhpur","Mechanical Engineering (4 Years, Bachelor of Technology)",72,18,90
"Indian Institute of Technology Jodhpur","Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",48,12,60
"Indian Institute of Technology Jodhpur","Bio Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Jodhpur","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",56,14,70
"Indian Institute of Technology Jodhpur","Materials Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Jodhpur","Physics with Specialization (4 Years, Bachelor of Science)",24,6,30
"Indian Institute of Technology Jodhpur","Chemistry with Specialization (4 Years, Bachelor of Science)",24,6,30
"Indian Institute of Technology Kanpur","Aerospace Engineering (4 Years, Bachelor of Technology)",55,14,69
"Indian Institute of Technology Kanpur","Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",42,11,53
"Indian Institute of Technology Kanpur","Chemical Engineering (4 Years, Bachelor of Technology)",83,21,104
"Indian Institute of Technology Kanpur","Civil Engineering (4 Years, Bachelor of Technology)",118,30,148
"Indian Institute of Technology Kanpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",103,26,129
"Indian Institute of Technology Kanpur","Electrical Engineering (4 Years, Bachelor of Technology)",153,39,192
"Indian Institute of Technology Kanpur","Materials Science and Engineering (4 Years, Bachelor of Technology)",68,17,85
"Indian Institute of Technology Kanpur","Mechanical Engineering (4 Years, Bachelor of Technology)",119,30,149
"Indian Institute of Technology Kanpur","Chemistry (4 Years, Bachelor of Science)",39,10,49
"Indian Institute of Technology Kanpur","Economics (4 Years, Bachelor of Science)",41,11,52
"Indian Institute of Technology Kanpur","Mathematics and Scientific Computing (4 Years, Bachelor of Science)",51,13,64
"Indian Institute of Technology Kanpur","Physics (4 Years, Bachelor of Science)",36,9,45
"Indian Institute of Technology Kanpur","Earth Sciences (4 Years, Bachelor of Science)",34,9,43
"Indian Institute of Technology Kanpur","Statistics and Data Science (4 Years, Bachelor of Science)",22,6,28
"Indian Institute of Technology Madras","Aerospace Engineering (4 Years, Bachelor of Technology)",54,1,55
"Indian Institute of Technology Madras","Chemical Engineering (4 Years, Bachelor of Technology)",114,3,117
"Indian Institute of Technology Madras","Civil Engineering (4 Years, Bachelor of Technology)",121,6,127
"Indian Institute of Technology Madras","Computer Science and Engineering (4 Years, Bachelor of Technology)",81,6,87
"Indian Institute of Technology Madras","Electrical Engineering (4 Years, Bachelor of Technology)",148,6,154
"Indian Institute of Technology Madras","Engineering Physics (4 Years, Bachelor of Technology)",37,5,42
"Indian Institute of Technology Madras","Biological Engineering (4 Years, Bachelor of Technology)",40,1,41
"Indian Institute of Technology Madras","Mechanical Engineering (4 Years, Bachelor of Technology)",153,27,180
"Indian Institute of Technology Madras","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",54,5,59
"Indian Institute of Technology Madras","Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",50,0,50
"Indian Institute of Technology Madras","Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",69,9,78
"Indian Institute of Technology Madras","Biological Science (4 Years, Bachelor of Science)",40,1,41
"Indian Institute of Technology Madras","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10,0,10
"Indian Institute of Technology Madras","Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",71,3,74
"Indian Institute of Technology Madras","Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",12,1,13
"Indian Institute of Technology Gandhinagar","Chemical Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Gandhinagar","Civil Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Gandhinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Gandhinagar","Electrical Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Gandhinagar","Mechanical Engineering (4 Years, Bachelor of Technology)",40,10,50
"Indian Institute of Technology Gandhinagar","Integrated Circuit Design & Technology (4 Years, Bachelor of Technology)",24,6,30
"Indian Institute of Technology Gandhinagar","Artificial Intelligence (4 Years, Bachelor of Technology)",24,6,30
"Indian Institute of Technology Gandhinagar","Materials Engineering (4 Years, Bachelor of Technology)",33,7,40
"Indian Institute of Technology Gandhinagar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16,4,20
"Indian Institute of Technology Gandhinagar","Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16,4,20
"Indian Institute of Technology Gandhinagar","Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15,5,20
"Indian Institute of Technology Patna","Chemical Engineering (4 Years, Bachelor of Technology)",65,5,70
