Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Arunachal Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16,21,0,21,5
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture) KERALA",29,0,29,30,0,30,1
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture) Other than KERALA",30,0,30,29,0,29,-1
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology) KERALA",18,0,18,19,0,19,1
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology) Other than KERALA",19,0,19,18,0,18,-1
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology) KERALA",58,0,58,58,0,58,0
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology) Other than KERALA",58,0,58,58,0,58,0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology) KERALA",86,0,86,86,0,86,0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86,86,0,86,0
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology) KERALA",86,4,90,86,3,89,-1
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,3,89,86,3,89,0
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KERALA",86,0,86,86,0,86,0
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86,86,0,86,0
